,trading_steps,episode,reward,accumulated_transfer,number_trades,mark_up,trading_budget,episode_steps,agent
0,1,0,-14.450000000000008,0.5721574080617805,5.0,2.0,"[100.0, 100.0]",45,overall
1,1,0,-0.022157408061780758,0.5721574080617805,5.0,2.0,"[100.0, 100.0]",45,a-1
2,1,0,-14.427842591938228,0.0,0.0,2.0,"[100.0, 100.0]",45,a-2
3,1,1,-1.1,0.0,1.0,2.0,"[100.0, 100.0]",10,overall
4,1,1,-1.0,0.0,0.0,2.0,"[100.0, 100.0]",10,a-1
5,1,1,-0.09999999999999999,0.0,1.0,2.0,"[100.0, 100.0]",10,a-2
6,1,2,-13.04000000000001,1.4660288158215975,4.0,2.0,"[100.0, 100.0]",44,overall
7,1,2,-13.133971184178412,0.0,0.0,2.0,"[100.0, 100.0]",44,a-1
8,1,2,0.09397118417840228,1.4660288158215975,4.0,2.0,"[100.0, 100.0]",44,a-2
9,1,3,-3.9699999999999993,0.0,0.0,2.0,"[100.0, 100.0]",17,overall
10,1,3,-0.17,0.0,0.0,2.0,"[100.0, 100.0]",17,a-1
11,1,3,-3.7999999999999994,0.0,0.0,2.0,"[100.0, 100.0]",17,a-2
12,1,4,-5.660000000000003,0.6904090078253495,1.0,2.0,"[100.0, 100.0]",26,overall
13,1,4,1.0495909921746502,0.6904090078253495,1.0,2.0,"[100.0, 100.0]",26,a-1
14,1,4,-6.709590992174653,0.0,0.0,2.0,"[100.0, 100.0]",26,a-2
15,1,5,-2.7399999999999993,0.0,0.0,2.0,"[100.0, 100.0]",14,overall
16,1,5,-0.13999999999999999,0.0,0.0,2.0,"[100.0, 100.0]",14,a-1
17,1,5,-2.599999999999999,0.0,0.0,2.0,"[100.0, 100.0]",14,a-2
18,1,6,-5.840000000000003,0.896565035769814,8.0,2.0,"[100.0, 100.0]",24,overall
19,1,6,-8.26173749220999,0.2791512639899003,1.0,2.0,"[100.0, 100.0]",24,a-1
20,1,6,2.421737492209987,0.6174137717799136,7.0,2.0,"[100.0, 100.0]",24,a-2
21,1,7,-6.8400000000000025,0.0,0.0,2.0,"[100.0, 100.0]",24,overall
22,1,7,-0.24000000000000007,0.0,0.0,2.0,"[100.0, 100.0]",24,a-1
23,1,7,-6.600000000000002,0.0,0.0,2.0,"[100.0, 100.0]",24,a-2
24,1,8,-3.970000000000002,0.7158440037777549,2.0,2.0,"[100.0, 100.0]",17,overall
25,1,8,-6.084155996222247,0.0,0.0,2.0,"[100.0, 100.0]",17,a-1
26,1,8,2.114155996222245,0.7158440037777549,2.0,2.0,"[100.0, 100.0]",17,a-2
27,1,9,-15.860000000000012,0.0,0.0,2.0,"[100.0, 100.0]",46,overall
28,1,9,-0.46000000000000024,0.0,0.0,2.0,"[100.0, 100.0]",46,a-1
29,1,9,-15.400000000000011,0.0,0.0,2.0,"[100.0, 100.0]",46,a-2
30,1,10,-15.04000000000001,0.0,0.0,2.0,"[100.0, 100.0]",44,overall
31,1,10,-0.4400000000000002,0.0,0.0,2.0,"[100.0, 100.0]",44,a-1
32,1,10,-14.60000000000001,0.0,0.0,2.0,"[100.0, 100.0]",44,a-2
33,1,11,-16.500000000000004,0.7794058950323809,5.0,2.0,"[100.0, 100.0]",50,overall
34,1,11,-0.2794058950323811,0.7794058950323809,5.0,2.0,"[100.0, 100.0]",50,a-1
35,1,11,-16.220594104967624,0.0,0.0,2.0,"[100.0, 100.0]",50,a-2
36,1,12,-6.430000000000002,0.0,0.0,2.0,"[100.0, 100.0]",23,overall
37,1,12,-6.200000000000002,0.0,0.0,2.0,"[100.0, 100.0]",23,a-1
38,1,12,-0.23000000000000007,0.0,0.0,2.0,"[100.0, 100.0]",23,a-2
39,1,13,-8.300000000000004,0.0,1.0,2.0,"[100.0, 100.0]",30,overall
40,1,13,-9.000000000000004,0.0,0.0,2.0,"[100.0, 100.0]",30,a-1
41,1,13,0.6999999999999998,0.0,1.0,2.0,"[100.0, 100.0]",30,a-2
42,1,14,-4.840000000000002,0.8070744966205798,2.0,2.0,"[100.0, 100.0]",24,overall
43,1,14,-5.792925503379422,0.0,0.0,2.0,"[100.0, 100.0]",24,a-1
44,1,14,0.9529255033794201,0.8070744966205798,2.0,2.0,"[100.0, 100.0]",24,a-2
45,1,15,-14.630000000000008,0.1322234304327714,5.0,2.0,"[100.0, 100.0]",43,overall
