,trading_steps,episode,reward,accumulated_transfer,number_trades,mark_up,trading_budget,episode_steps,agent
0,0,0,-5.430000000000003,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
1,0,0,-8.200000000000003,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
2,0,0,2.7699999999999996,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
3,0,1,-7.480000000000005,0.0,0.0,1.0,"[100.0, 100.0]",28,overall
4,0,1,-10.200000000000005,0.0,0.0,1.0,"[100.0, 100.0]",28,a-1
5,0,1,2.7199999999999998,0.0,0.0,1.0,"[100.0, 100.0]",28,a-2
6,0,2,-9.350000000000009,0.0,0.0,1.0,"[100.0, 100.0]",35,overall
7,0,2,2.6499999999999995,0.0,0.0,1.0,"[100.0, 100.0]",35,a-1
8,0,2,-12.000000000000007,0.0,0.0,1.0,"[100.0, 100.0]",35,a-2
9,0,3,-1.9199999999999997,0.0,0.0,1.0,"[100.0, 100.0]",12,overall
10,0,3,-0.11999999999999998,0.0,0.0,1.0,"[100.0, 100.0]",12,a-1
11,0,3,-1.7999999999999998,0.0,0.0,1.0,"[100.0, 100.0]",12,a-2
12,0,4,-7.300000000000006,0.0,0.0,1.0,"[100.0, 100.0]",30,overall
13,0,4,1.6999999999999997,0.0,0.0,1.0,"[100.0, 100.0]",30,a-1
14,0,4,-9.000000000000005,0.0,0.0,1.0,"[100.0, 100.0]",30,a-2
15,0,5,-17.549999999999986,0.0,0.0,1.0,"[100.0, 100.0]",55,overall
16,0,5,1.4499999999999995,0.0,0.0,1.0,"[100.0, 100.0]",55,a-1
17,0,5,-18.999999999999986,0.0,0.0,1.0,"[100.0, 100.0]",55,a-2
18,0,6,-5.430000000000003,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
19,0,6,2.7699999999999996,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
20,0,6,-8.200000000000003,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
21,0,7,-23.289999999999978,0.0,0.0,1.0,"[100.0, 100.0]",69,overall
