,trading_steps,episode,reward,accumulated_transfer,number_trades,mark_up,trading_budget,episode_steps,agent
0,0,0,-6.2500000000000036,0.0,0.0,1.0,"[100.0, 100.0]",25,overall
1,0,0,-9.000000000000004,0.0,0.0,1.0,"[100.0, 100.0]",25,a-1
2,0,0,2.75,0.0,0.0,1.0,"[100.0, 100.0]",25,a-2
3,0,1,-15.269999999999998,0.0,0.0,1.0,"[100.0, 100.0]",47,overall
4,0,1,-17.799999999999997,0.0,0.0,1.0,"[100.0, 100.0]",47,a-1
5,0,1,2.5299999999999994,0.0,0.0,1.0,"[100.0, 100.0]",47,a-2
6,0,2,-7.660000000000004,0.0,0.0,1.0,"[100.0, 100.0]",26,overall
7,0,2,2.7399999999999998,0.0,0.0,1.0,"[100.0, 100.0]",26,a-1
8,0,2,-10.400000000000004,0.0,0.0,1.0,"[100.0, 100.0]",26,a-2
9,0,3,-13.22000000000001,0.0,0.0,1.0,"[100.0, 100.0]",42,overall
10,0,3,-15.80000000000001,0.0,0.0,1.0,"[100.0, 100.0]",42,a-1
11,0,3,2.5799999999999996,0.0,0.0,1.0,"[100.0, 100.0]",42,a-2
12,0,4,-10.990000000000009,0.0,0.0,1.0,"[100.0, 100.0]",39,overall
13,0,4,-13.600000000000009,0.0,0.0,1.0,"[100.0, 100.0]",39,a-1
14,0,4,2.6099999999999994,0.0,0.0,1.0,"[100.0, 100.0]",39,a-2
15,0,5,-6.070000000000005,0.0,0.0,1.0,"[100.0, 100.0]",27,overall
16,0,5,-7.800000000000004,0.0,0.0,1.0,"[100.0, 100.0]",27,a-1
17,0,5,1.7299999999999998,0.0,0.0,1.0,"[100.0, 100.0]",27,a-2
18,0,6,-6.070000000000005,0.0,0.0,1.0,"[100.0, 100.0]",27,overall
19,0,6,2.7299999999999995,0.0,0.0,1.0,"[100.0, 100.0]",27,a-1
20,0,6,-8.800000000000004,0.0,0.0,1.0,"[100.0, 100.0]",27,a-2
21,0,7,-15.090000000000005,0.0,0.0,1.0,"[100.0, 100.0]",49,overall
22,0,7,2.51,0.0,0.0,1.0,"[100.0, 100.0]",49,a-1
23,0,7,-17.600000000000005,0.0,0.0,1.0,"[100.0, 100.0]",49,a-2
24,0,8,-6.660000000000004,0.0,0.0,1.0,"[100.0, 100.0]",26,overall
25,0,8,-9.400000000000004,0.0,0.0,1.0,"[100.0, 100.0]",26,a-1
26,0,8,2.7399999999999998,0.0,0.0,1.0,"[100.0, 100.0]",26,a-2
27,0,9,-7.070000000000003,0.0,0.0,1.0,"[100.0, 100.0]",27,overall
28,0,9,-7.8000000000000025,0.0,0.0,1.0,"[100.0, 100.0]",27,a-1
29,0,9,0.7299999999999998,0.0,0.0,1.0,"[100.0, 100.0]",27,a-2
