,trading_steps,episode,reward,accumulated_transfer,number_trades,mark_up,trading_budget,episode_steps,agent
0,1,0,-0.6900000000000002,0.0,0.0,1.0,"[100.0, 100.0]",9,overall
1,1,0,-0.6000000000000002,0.0,0.0,1.0,"[100.0, 100.0]",9,a-1
2,1,0,-0.09,0.0,0.0,1.0,"[100.0, 100.0]",9,a-2
3,1,1,-1.9199999999999997,0.0,0.0,1.0,"[100.0, 100.0]",12,overall
4,1,1,-0.11999999999999998,0.0,0.0,1.0,"[100.0, 100.0]",12,a-1
5,1,1,-1.7999999999999998,0.0,0.0,1.0,"[100.0, 100.0]",12,a-2
6,1,2,-8.710000000000006,0.0,0.0,1.0,"[100.0, 100.0]",31,overall
7,1,2,-9.400000000000006,0.0,0.0,1.0,"[100.0, 100.0]",31,a-1
8,1,2,0.6899999999999997,0.0,0.0,1.0,"[100.0, 100.0]",31,a-2
9,1,3,-5.430000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
10,1,3,-6.200000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
11,1,3,0.7699999999999998,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
12,1,4,-6.890000000000005,0.0,0.0,1.0,"[100.0, 100.0]",29,overall
13,1,4,2.71,0.0,0.0,1.0,"[100.0, 100.0]",29,a-1
14,1,4,-9.600000000000005,0.0,0.0,1.0,"[100.0, 100.0]",29,a-2
15,1,5,-7.480000000000003,0.0,0.0,1.0,"[100.0, 100.0]",28,overall
16,1,5,0.7199999999999998,0.0,0.0,1.0,"[100.0, 100.0]",28,a-1
17,1,5,-8.200000000000003,0.0,0.0,1.0,"[100.0, 100.0]",28,a-2
18,1,6,-2.329999999999999,0.0,0.0,1.0,"[100.0, 100.0]",13,overall
19,1,6,-0.12999999999999998,0.0,0.0,1.0,"[100.0, 100.0]",13,a-1
20,1,6,-2.1999999999999993,0.0,0.0,1.0,"[100.0, 100.0]",13,a-2
21,1,7,-7.2500000000000036,0.0,0.0,1.0,"[100.0, 100.0]",25,overall
22,1,7,-7.0000000000000036,0.0,0.0,1.0,"[100.0, 100.0]",25,a-1
23,1,7,-0.25000000000000006,0.0,0.0,1.0,"[100.0, 100.0]",25,a-2
24,1,8,-13.04000000000001,0.0,0.0,1.0,"[100.0, 100.0]",44,overall
25,1,8,-15.60000000000001,0.0,0.0,1.0,"[100.0, 100.0]",44,a-1
26,1,8,2.5599999999999996,0.0,0.0,1.0,"[100.0, 100.0]",44,a-2
27,1,9,-15.270000000000005,0.0,0.0,1.0,"[100.0, 100.0]",47,overall
28,1,9,2.5299999999999994,0.0,0.0,1.0,"[100.0, 100.0]",47,a-1
29,1,9,-17.800000000000004,0.0,0.0,1.0,"[100.0, 100.0]",47,a-2
30,1,10,-6.480000000000005,0.0,0.0,1.0,"[100.0, 100.0]",28,overall
31,1,10,1.7199999999999998,0.0,0.0,1.0,"[100.0, 100.0]",28,a-1
32,1,10,-8.200000000000005,0.0,0.0,1.0,"[100.0, 100.0]",28,a-2
33,1,11,-15.45,0.0,0.0,1.0,"[100.0, 100.0]",45,overall
34,1,11,2.55,0.0,0.0,1.0,"[100.0, 100.0]",45,a-1
35,1,11,-18.0,0.0,0.0,1.0,"[100.0, 100.0]",45,a-2
36,1,12,-8.480000000000002,0.0,0.0,1.0,"[100.0, 100.0]",28,overall
37,1,12,-8.200000000000003,0.0,0.0,1.0,"[100.0, 100.0]",28,a-1
38,1,12,-0.2800000000000001,0.0,0.0,1.0,"[100.0, 100.0]",28,a-2
39,1,13,-22.059999999999977,0.0,0.0,1.0,"[100.0, 100.0]",66,overall
40,1,13,-23.399999999999977,0.0,0.0,1.0,"[100.0, 100.0]",66,a-1
41,1,13,1.3399999999999994,0.0,0.0,1.0,"[100.0, 100.0]",66,a-2
42,1,14,-5.430000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
43,1,14,0.7699999999999998,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
44,1,14,-6.200000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
45,1,15,-13.04000000000001,0.0,0.0,1.0,"[100.0, 100.0]",44,overall
46,1,15,1.5599999999999996,0.0,0.0,1.0,"[100.0, 100.0]",44,a-1
47,1,15,-14.600000000000009,0.0,0.0,1.0,"[100.0, 100.0]",44,a-2
48,1,16,-8.480000000000004,0.0,0.0,1.0,"[100.0, 100.0]",28,overall
49,1,16,-11.200000000000005,0.0,0.0,1.0,"[100.0, 100.0]",28,a-1
50,1,16,2.7199999999999998,0.0,0.0,1.0,"[100.0, 100.0]",28,a-2
51,1,17,-5.660000000000004,0.0,0.0,1.0,"[100.0, 100.0]",26,overall
52,1,17,-8.400000000000004,0.0,0.0,1.0,"[100.0, 100.0]",26,a-1
53,1,17,2.7399999999999998,0.0,0.0,1.0,"[100.0, 100.0]",26,a-2
54,1,18,-10.170000000000005,0.0,0.0,1.0,"[100.0, 100.0]",37,overall
55,1,18,2.63,0.0,0.0,1.0,"[100.0, 100.0]",37,a-1
56,1,18,-12.800000000000006,0.0,0.0,1.0,"[100.0, 100.0]",37,a-2
57,1,19,-11.810000000000008,0.0,0.0,1.0,"[100.0, 100.0]",41,overall
58,1,19,1.5899999999999999,0.0,0.0,1.0,"[100.0, 100.0]",41,a-1
59,1,19,-13.400000000000007,0.0,0.0,1.0,"[100.0, 100.0]",41,a-2
60,1,20,-15.270000000000005,0.0,0.0,1.0,"[100.0, 100.0]",47,overall
61,1,20,2.53,0.0,0.0,1.0,"[100.0, 100.0]",47,a-1
62,1,20,-17.800000000000004,0.0,0.0,1.0,"[100.0, 100.0]",47,a-2
63,1,21,-10.120000000000006,0.0,0.0,1.0,"[100.0, 100.0]",32,overall
64,1,21,-9.800000000000006,0.0,0.0,1.0,"[100.0, 100.0]",32,a-1
65,1,21,-0.3200000000000001,0.0,0.0,1.0,"[100.0, 100.0]",32,a-2
66,1,22,-6.430000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
67,1,22,-6.200000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
68,1,22,-0.23000000000000007,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
69,1,23,-8.710000000000006,0.0,0.0,1.0,"[100.0, 100.0]",31,overall
70,1,23,2.6899999999999995,0.0,0.0,1.0,"[100.0, 100.0]",31,a-1
71,1,23,-11.400000000000006,0.0,0.0,1.0,"[100.0, 100.0]",31,a-2
72,1,24,-7.2500000000000036,0.0,0.0,1.0,"[100.0, 100.0]",25,overall
73,1,24,-10.000000000000004,0.0,0.0,1.0,"[100.0, 100.0]",25,a-1
74,1,24,2.75,0.0,0.0,1.0,"[100.0, 100.0]",25,a-2
75,1,25,-8.070000000000004,0.0,0.0,1.0,"[100.0, 100.0]",27,overall
76,1,25,-10.800000000000004,0.0,0.0,1.0,"[100.0, 100.0]",27,a-1
77,1,25,2.7299999999999995,0.0,0.0,1.0,"[100.0, 100.0]",27,a-2
78,1,26,-6.020000000000001,0.0,0.0,1.0,"[100.0, 100.0]",22,overall
79,1,26,-5.800000000000002,0.0,0.0,1.0,"[100.0, 100.0]",22,a-1
80,1,26,-0.22000000000000006,0.0,0.0,1.0,"[100.0, 100.0]",22,a-2
81,1,27,-5.430000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
82,1,27,0.7699999999999999,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
83,1,27,-6.200000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
84,1,28,-8.120000000000006,0.0,0.0,1.0,"[100.0, 100.0]",32,overall
85,1,28,2.6799999999999997,0.0,0.0,1.0,"[100.0, 100.0]",32,a-1
86,1,28,-10.800000000000006,0.0,0.0,1.0,"[100.0, 100.0]",32,a-2
87,1,29,-22.649999999999977,0.0,0.0,1.0,"[100.0, 100.0]",65,overall
88,1,29,2.3499999999999996,0.0,0.0,1.0,"[100.0, 100.0]",65,a-1
89,1,29,-24.99999999999998,0.0,0.0,1.0,"[100.0, 100.0]",65,a-2
90,1,30,-11.580000000000009,0.0,0.0,1.0,"[100.0, 100.0]",38,overall
91,1,30,2.6199999999999997,0.0,0.0,1.0,"[100.0, 100.0]",38,a-1
92,1,30,-14.200000000000008,0.0,0.0,1.0,"[100.0, 100.0]",38,a-2
93,1,31,-6.2500000000000036,0.0,0.0,1.0,"[100.0, 100.0]",25,overall
94,1,31,2.75,0.0,0.0,1.0,"[100.0, 100.0]",25,a-1
95,1,31,-9.000000000000004,0.0,0.0,1.0,"[100.0, 100.0]",25,a-2
96,1,32,-5.840000000000003,0.0,0.0,1.0,"[100.0, 100.0]",24,overall
97,1,32,2.76,0.0,0.0,1.0,"[100.0, 100.0]",24,a-1
98,1,32,-8.600000000000003,0.0,0.0,1.0,"[100.0, 100.0]",24,a-2
99,1,33,-5.430000000000003,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
100,1,33,2.7699999999999996,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
101,1,33,-8.200000000000003,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
102,1,34,-16.090000000000003,0.0,0.0,1.0,"[100.0, 100.0]",49,overall
103,1,34,-16.6,0.0,0.0,1.0,"[100.0, 100.0]",49,a-1
104,1,34,0.5099999999999996,0.0,0.0,1.0,"[100.0, 100.0]",49,a-2
105,1,35,-15.27000000000001,0.0,0.0,1.0,"[100.0, 100.0]",47,overall
106,1,35,-15.80000000000001,0.0,0.0,1.0,"[100.0, 100.0]",47,a-1
107,1,35,0.5299999999999996,0.0,0.0,1.0,"[100.0, 100.0]",47,a-2
108,1,36,-8.530000000000006,0.0,0.0,1.0,"[100.0, 100.0]",33,overall
109,1,36,2.67,0.0,0.0,1.0,"[100.0, 100.0]",33,a-1
110,1,36,-11.200000000000006,0.0,0.0,1.0,"[100.0, 100.0]",33,a-2
111,1,37,-5.020000000000003,0.0,0.0,1.0,"[100.0, 100.0]",22,overall
112,1,37,-7.800000000000003,0.0,0.0,1.0,"[100.0, 100.0]",22,a-1
113,1,37,2.78,0.0,0.0,1.0,"[100.0, 100.0]",22,a-2
114,1,38,-10.940000000000005,0.0,0.0,1.0,"[100.0, 100.0]",34,overall
115,1,38,-10.600000000000005,0.0,0.0,1.0,"[100.0, 100.0]",34,a-1
116,1,38,-0.34000000000000014,0.0,0.0,1.0,"[100.0, 100.0]",34,a-2
117,1,39,-5.020000000000001,0.0,0.0,1.0,"[100.0, 100.0]",22,overall
118,1,39,0.7799999999999998,0.0,0.0,1.0,"[100.0, 100.0]",22,a-1
119,1,39,-5.800000000000002,0.0,0.0,1.0,"[100.0, 100.0]",22,a-2
120,1,40,-7.890000000000005,0.0,0.0,1.0,"[100.0, 100.0]",29,overall
121,1,40,2.71,0.0,0.0,1.0,"[100.0, 100.0]",29,a-1
122,1,40,-10.600000000000005,0.0,0.0,1.0,"[100.0, 100.0]",29,a-2
123,1,41,-6.430000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
124,1,41,-6.200000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
125,1,41,-0.23000000000000007,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
126,1,42,-5.430000000000003,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
127,1,42,2.7699999999999996,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
128,1,42,-8.200000000000003,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
129,1,43,-4.38,0.0,0.0,1.0,"[100.0, 100.0]",18,overall
130,1,43,-4.2,0.0,0.0,1.0,"[100.0, 100.0]",18,a-1
131,1,43,-0.18000000000000002,0.0,0.0,1.0,"[100.0, 100.0]",18,a-2
132,1,44,-5.430000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
133,1,44,-6.200000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
134,1,44,0.7699999999999998,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
135,1,45,-17.549999999999994,0.0,0.0,1.0,"[100.0, 100.0]",55,overall
136,1,45,-18.999999999999993,0.0,0.0,1.0,"[100.0, 100.0]",55,a-1
137,1,45,1.4499999999999995,0.0,0.0,1.0,"[100.0, 100.0]",55,a-2
138,1,46,-14.04000000000001,0.0,0.0,1.0,"[100.0, 100.0]",44,overall
139,1,46,2.5599999999999996,0.0,0.0,1.0,"[100.0, 100.0]",44,a-1
140,1,46,-16.60000000000001,0.0,0.0,1.0,"[100.0, 100.0]",44,a-2
141,1,47,-6.430000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,overall
142,1,47,-0.23000000000000007,0.0,0.0,1.0,"[100.0, 100.0]",23,a-1
143,1,47,-6.200000000000002,0.0,0.0,1.0,"[100.0, 100.0]",23,a-2
144,1,48,-14.450000000000006,0.0,0.0,1.0,"[100.0, 100.0]",45,overall
145,1,48,2.55,0.0,0.0,1.0,"[100.0, 100.0]",45,a-1
146,1,48,-17.000000000000007,0.0,0.0,1.0,"[100.0, 100.0]",45,a-2
147,1,49,-6.480000000000003,0.0,0.0,1.0,"[100.0, 100.0]",28,overall
148,1,49,1.7199999999999998,0.0,0.0,1.0,"[100.0, 100.0]",28,a-1
149,1,49,-8.200000000000003,0.0,0.0,1.0,"[100.0, 100.0]",28,a-2
150,1,50,-5.250000000000003,0.0,0.0,1.0,"[100.0, 100.0]",25,overall
151,1,50,-7.000000000000003,0.0,0.0,1.0,"[100.0, 100.0]",25,a-1
152,1,50,1.7499999999999998,0.0,0.0,1.0,"[100.0, 100.0]",25,a-2
153,1,51,-5.020000000000001,0.0,0.0,1.0,"[100.0, 100.0]",22,overall
154,1,51,-5.800000000000002,0.0,0.0,1.0,"[100.0, 100.0]",22,a-1
155,1,51,0.7799999999999998,0.0,0.0,1.0,"[100.0, 100.0]",22,a-2
156,1,52,-23.469999999999978,0.0,0.0,1.0,"[100.0, 100.0]",67,overall
157,1,52,2.329999999999999,0.0,0.0,1.0,"[100.0, 100.0]",67,a-1
158,1,52,-25.799999999999976,0.0,0.0,1.0,"[100.0, 100.0]",67,a-2
159,1,53,-22.059999999999977,0.0,0.0,1.0,"[100.0, 100.0]",66,overall
160,1,53,-23.399999999999977,0.0,0.0,1.0,"[100.0, 100.0]",66,a-1
161,1,53,1.3399999999999994,0.0,0.0,1.0,"[100.0, 100.0]",66,a-2
162,1,54,-6.8400000000000025,0.0,0.0,1.0,"[100.0, 100.0]",24,overall
163,1,54,-6.600000000000002,0.0,0.0,1.0,"[100.0, 100.0]",24,a-1
164,1,54,-0.24000000000000007,0.0,0.0,1.0,"[100.0, 100.0]",24,a-2
165,1,55,-11.40000000000001,0.0,0.0,1.0,"[100.0, 100.0]",40,overall
166,1,55,2.5999999999999996,0.0,0.0,1.0,"[100.0, 100.0]",40,a-1
