,trading_steps,episode,reward,accumulated_transfer,number_trades,mark_up,trading_budget,episode_steps,agent
0,0,0,1.2599999999999976,0.0,0.0,1.1,"[100.0, 100.0]",28,overall
1,0,0,-0.14000000000000004,0.0,0.0,1.1,"[100.0, 100.0]",28,a-1
2,0,0,1.3999999999999977,0.0,0.0,1.1,"[100.0, 100.0]",28,a-2
3,0,1,9.014999999999997,0.0,0.0,1.1,"[100.0, 100.0]",17,overall
4,0,1,-0.085,0.0,0.0,1.1,"[100.0, 100.0]",17,a-1
5,0,1,9.099999999999998,0.0,0.0,1.1,"[100.0, 100.0]",17,a-2
6,0,2,12.539999999999997,0.0,0.0,1.1,"[100.0, 100.0]",12,overall
7,0,2,-0.05999999999999999,0.0,0.0,1.1,"[100.0, 100.0]",12,a-1
8,0,2,12.599999999999998,0.0,0.0,1.1,"[100.0, 100.0]",12,a-2
9,0,3,-9.019999999999994,0.0,0.0,1.1,"[100.0, 100.0]",44,overall
10,0,3,-9.799999999999994,0.0,0.0,1.1,"[100.0, 100.0]",44,a-1
11,0,3,0.7799999999999998,0.0,0.0,1.1,"[100.0, 100.0]",44,a-2
12,0,4,2.2599999999999993,0.0,0.0,1.1,"[100.0, 100.0]",28,overall
13,0,4,0.8599999999999999,0.0,0.0,1.1,"[100.0, 100.0]",28,a-1
14,0,4,1.3999999999999995,0.0,0.0,1.1,"[100.0, 100.0]",28,a-2
15,0,5,-32.58,0.0,0.0,1.1,"[100.0, 100.0]",76,overall
16,0,5,-32.199999999999996,0.0,0.0,1.1,"[100.0, 100.0]",76,a-1
17,0,5,-0.3800000000000002,0.0,0.0,1.1,"[100.0, 100.0]",76,a-2
18,0,6,-3.174999999999994,0.0,0.0,1.1,"[100.0, 100.0]",35,overall
19,0,6,0.32499999999999984,0.0,0.0,1.1,"[100.0, 100.0]",35,a-1
20,0,6,-3.499999999999994,0.0,0.0,1.1,"[100.0, 100.0]",35,a-2
21,0,7,-31.02999999999998,0.0,0.0,1.1,"[100.0, 100.0]",66,overall
22,0,7,-32.19999999999998,0.0,0.0,1.1,"[100.0, 100.0]",66,a-1
23,0,7,1.17,0.0,0.0,1.1,"[100.0, 100.0]",66,a-2
24,0,8,9.719999999999997,0.0,0.0,1.1,"[100.0, 100.0]",16,overall
25,0,8,9.799999999999997,0.0,0.0,1.1,"[100.0, 100.0]",16,a-1
26,0,8,-0.08,0.0,0.0,1.1,"[100.0, 100.0]",16,a-2
27,0,9,-17.27499999999997,0.0,0.0,1.1,"[100.0, 100.0]",55,overall
28,0,9,-17.49999999999997,0.0,0.0,1.1,"[100.0, 100.0]",55,a-1
29,0,9,0.22499999999999987,0.0,0.0,1.1,"[100.0, 100.0]",55,a-2
30,0,10,1.964999999999997,0.0,0.0,1.1,"[100.0, 100.0]",27,overall
31,0,10,-0.13500000000000004,0.0,0.0,1.1,"[100.0, 100.0]",27,a-1
32,0,10,2.099999999999997,0.0,0.0,1.1,"[100.0, 100.0]",27,a-2
33,0,11,-18.889999999999986,0.0,0.0,1.1,"[100.0, 100.0]",58,overall
34,0,11,0.7099999999999999,0.0,0.0,1.1,"[100.0, 100.0]",58,a-1
35,0,11,-19.599999999999987,0.0,0.0,1.1,"[100.0, 100.0]",58,a-2
36,0,12,-1.2650000000000023,0.0,0.0,1.1,"[100.0, 100.0]",33,overall
37,0,12,0.835,0.0,0.0,1.1,"[100.0, 100.0]",33,a-1
38,0,12,-2.1000000000000023,0.0,0.0,1.1,"[100.0, 100.0]",33,a-2
39,0,13,5.079999999999999,0.0,0.0,1.1,"[100.0, 100.0]",24,overall
40,0,13,0.8799999999999999,0.0,0.0,1.1,"[100.0, 100.0]",24,a-1
41,0,13,4.199999999999999,0.0,0.0,1.1,"[100.0, 100.0]",24,a-2
42,0,14,4.579999999999999,0.0,0.0,1.1,"[100.0, 100.0]",24,overall
43,0,14,0.3799999999999999,0.0,0.0,1.1,"[100.0, 100.0]",24,a-1
44,0,14,4.199999999999999,0.0,0.0,1.1,"[100.0, 100.0]",24,a-2
45,0,15,-45.27000000000009,0.0,0.0,1.1,"[100.0, 100.0]",94,overall
46,0,15,-0.4700000000000003,0.0,0.0,1.1,"[100.0, 100.0]",94,a-1
47,0,15,-44.80000000000009,0.0,0.0,1.1,"[100.0, 100.0]",94,a-2
48,0,16,-12.134999999999987,0.0,0.0,1.1,"[100.0, 100.0]",47,overall
49,0,16,-11.899999999999988,0.0,0.0,1.1,"[100.0, 100.0]",47,a-1
50,0,16,-0.23500000000000013,0.0,0.0,1.1,"[100.0, 100.0]",47,a-2
51,0,17,-2.1250000000000027,0.0,0.0,1.1,"[100.0, 100.0]",25,overall
52,0,17,1.375,0.0,0.0,1.1,"[100.0, 100.0]",25,a-1
53,0,17,-3.5000000000000027,0.0,0.0,1.1,"[100.0, 100.0]",25,a-2
54,0,18,11.129999999999999,0.0,0.0,1.1,"[100.0, 100.0]",14,overall
55,0,18,-0.06999999999999999,0.0,0.0,1.1,"[100.0, 100.0]",14,a-1
56,0,18,11.2,0.0,0.0,1.1,"[100.0, 100.0]",14,a-2
57,0,19,4.579999999999997,0.0,0.0,1.1,"[100.0, 100.0]",24,overall
58,0,19,4.1999999999999975,0.0,0.0,1.1,"[100.0, 100.0]",24,a-1
59,0,19,0.3799999999999999,0.0,0.0,1.1,"[100.0, 100.0]",24,a-2
60,0,20,-47.3850000000001,0.0,0.0,1.1,"[100.0, 100.0]",97,overall
61,0,20,-46.9000000000001,0.0,0.0,1.1,"[100.0, 100.0]",97,a-1
62,0,20,-0.4850000000000003,0.0,0.0,1.1,"[100.0, 100.0]",97,a-2
63,0,21,-17.97999999999998,0.0,0.0,1.1,"[100.0, 100.0]",56,overall
64,0,21,-18.199999999999978,0.0,0.0,1.1,"[100.0, 100.0]",56,a-1
65,0,21,0.21999999999999975,0.0,0.0,1.1,"[100.0, 100.0]",56,a-2
66,0,22,-21.81499999999998,0.0,0.0,1.1,"[100.0, 100.0]",43,overall
67,0,22,-23.09999999999998,0.0,0.0,1.1,"[100.0, 100.0]",43,a-1
68,0,22,1.2849999999999997,0.0,0.0,1.1,"[100.0, 100.0]",43,a-2
69,0,23,-13.404999999999989,0.0,0.0,1.1,"[100.0, 100.0]",41,overall
70,0,23,-14.699999999999989,0.0,0.0,1.1,"[100.0, 100.0]",41,a-1
71,0,23,1.295,0.0,0.0,1.1,"[100.0, 100.0]",41,a-2
72,0,24,-3.675000000000001,0.0,0.0,1.1,"[100.0, 100.0]",35,overall
73,0,24,-0.17500000000000007,0.0,0.0,1.1,"[100.0, 100.0]",35,a-1
74,0,24,-3.500000000000001,0.0,0.0,1.1,"[100.0, 100.0]",35,a-2
75,0,25,1.2599999999999976,0.0,0.0,1.1,"[100.0, 100.0]",28,overall
76,0,25,-0.14000000000000004,0.0,0.0,1.1,"[100.0, 100.0]",28,a-1
77,0,25,1.3999999999999977,0.0,0.0,1.1,"[100.0, 100.0]",28,a-2
78,0,26,-5.650000000000002,0.0,0.0,1.1,"[100.0, 100.0]",30,overall
79,0,26,1.3499999999999999,0.0,0.0,1.1,"[100.0, 100.0]",30,a-1
80,0,26,-7.000000000000002,0.0,0.0,1.1,"[100.0, 100.0]",30,a-2
81,0,27,1.7599999999999976,0.0,0.0,1.1,"[100.0, 100.0]",28,overall
82,0,27,0.35999999999999993,0.0,0.0,1.1,"[100.0, 100.0]",28,a-1
83,0,27,1.3999999999999977,0.0,0.0,1.1,"[100.0, 100.0]",28,a-2
84,0,28,-0.5600000000000023,0.0,0.0,1.1,"[100.0, 100.0]",32,overall
85,0,28,-1.4000000000000021,0.0,0.0,1.1,"[100.0, 100.0]",32,a-1
86,0,28,0.8399999999999999,0.0,0.0,1.1,"[100.0, 100.0]",32,a-2
87,0,29,5.284999999999998,0.0,0.0,1.1,"[100.0, 100.0]",23,overall
88,0,29,4.899999999999999,0.0,0.0,1.1,"[100.0, 100.0]",23,a-1
89,0,29,0.3849999999999999,0.0,0.0,1.1,"[100.0, 100.0]",23,a-2
90,0,30,0.3499999999999981,0.0,0.0,1.1,"[100.0, 100.0]",30,overall
91,0,30,-1.7763568394002505e-15,0.0,0.0,1.1,"[100.0, 100.0]",30,a-1
92,0,30,0.34999999999999987,0.0,0.0,1.1,"[100.0, 100.0]",30,a-2
93,0,31,1.964999999999997,0.0,0.0,1.1,"[100.0, 100.0]",27,overall
