,trading_steps,episode,reward,accumulated_transfer,number_trades,episode_steps,agent
0,0,0,-3.6600000000000024,0.0,0.0,45,overall
1,0,0,2.5399999999999996,0.0,0.0,45,a-1
2,0,0,-6.200000000000002,0.0,0.0,45,a-2
3,0,1,-13.850000000000001,0.0,0.0,48,overall
4,0,1,2.75,0.0,0.0,48,a-1
5,0,1,-16.6,0.0,0.0,48,a-2
6,0,2,-8.140000000000008,0.0,0.0,53,overall
7,0,2,2.4599999999999995,0.0,0.0,53,a-1
8,0,2,-10.600000000000007,0.0,0.0,53,a-2
9,0,3,-15.889999999999993,0.0,0.0,53,overall
10,0,3,-18.599999999999994,0.0,0.0,53,a-1
11,0,3,2.71,0.0,0.0,53,a-2
12,0,4,1.13,0.0,0.0,46,overall
13,0,4,-1.4,0.0,0.0,46,a-1
14,0,4,2.53,0.0,0.0,46,a-2
15,0,5,-23.059999999999963,0.0,0.0,71,overall
16,0,5,2.7399999999999998,0.0,0.0,71,a-1
17,0,5,-25.79999999999996,0.0,0.0,71,a-2
18,0,6,-12.26000000000001,0.0,0.0,44,overall
19,0,6,-15.00000000000001,0.0,0.0,44,a-1
20,0,6,2.7399999999999998,0.0,0.0,44,a-2
21,0,7,-21.629999999999974,0.0,0.0,67,overall
22,0,7,-24.199999999999974,0.0,0.0,67,a-1
23,0,7,2.5699999999999994,0.0,0.0,67,a-2
24,0,8,-7.210000000000004,0.0,0.0,40,overall
25,0,8,2.59,0.0,0.0,40,a-1
26,0,8,-9.800000000000004,0.0,0.0,40,a-2
27,0,9,-5.310000000000004,0.0,0.0,50,overall
28,0,9,-7.800000000000004,0.0,0.0,50,a-1
29,0,9,2.4899999999999998,0.0,0.0,50,a-2
30,0,10,-10.250000000000009,0.0,0.0,39,overall
31,0,10,2.75,0.0,0.0,39,a-1
32,0,10,-13.000000000000009,0.0,0.0,39,a-2
33,0,11,-2.8400000000000016,0.0,0.0,43,overall
34,0,11,-5.400000000000001,0.0,0.0,43,a-1
35,0,11,2.5599999999999996,0.0,0.0,43,a-2
36,0,12,-6.640000000000006,0.0,0.0,30,overall
37,0,12,2.76,0.0,0.0,30,a-1
38,0,12,-9.400000000000006,0.0,0.0,30,a-2
39,0,13,-13.840000000000007,0.0,0.0,63,overall
40,0,13,-16.200000000000006,0.0,0.0,63,a-1
41,0,13,2.3599999999999994,0.0,0.0,63,a-2
42,0,14,-12.25000000000001,0.0,0.0,64,overall
43,0,14,-14.60000000000001,0.0,0.0,64,a-1
44,0,14,2.3499999999999996,0.0,0.0,64,a-2
45,0,15,-195.27000000000174,0.0,0.0,499,overall
46,0,15,-198.00000000000173,0.0,0.0,499,a-1
47,0,15,2.7299999999999995,0.0,0.0,499,a-2
48,0,16,-13.43000000000001,0.0,0.0,62,overall
49,0,16,2.369999999999999,0.0,0.0,62,a-1
50,0,16,-15.80000000000001,0.0,0.0,62,a-2
51,0,17,-12.27000000000001,0.0,0.0,44,overall
52,0,17,2.7299999999999995,0.0,0.0,44,a-1
53,0,17,-15.00000000000001,0.0,0.0,44,a-2
54,0,18,-9.44999999999997,0.0,0.0,464,overall
55,0,18,-7.800000000000004,0.0,0.0,464,a-1
56,0,18,-1.6499999999999668,0.0,0.0,464,a-2
57,0,19,-197.13000000000176,0.0,0.0,499,overall
