,trading_steps,episode,reward,accumulated_transfer,number_trades,episode_steps,agent
0,0,0,-14.280000000000001,0.0,0.0,49,overall
1,0,0,2.7199999999999998,0.0,0.0,49,a-1
2,0,0,-17.0,0.0,0.0,49,a-2
3,0,1,-13.090000000000007,0.0,0.0,46,overall
4,0,1,2.71,0.0,0.0,46,a-1
5,0,1,-15.800000000000006,0.0,0.0,46,a-2
6,0,2,-4.030000000000003,0.0,0.0,42,overall
7,0,2,2.5699999999999994,0.0,0.0,42,a-1
8,0,2,-6.600000000000002,0.0,0.0,42,a-2
9,0,3,0.15000000000000036,0.0,0.0,64,overall
10,0,3,-2.1999999999999993,0.0,0.0,64,a-1
11,0,3,2.3499999999999996,0.0,0.0,64,a-2
12,0,4,-20.259999999999984,0.0,0.0,64,overall
13,0,4,-22.999999999999982,0.0,0.0,64,a-1
14,0,4,2.7399999999999998,0.0,0.0,64,a-2
15,0,5,-13.850000000000001,0.0,0.0,48,overall
16,0,5,2.75,0.0,0.0,48,a-1
17,0,5,-16.6,0.0,0.0,48,a-2
18,0,6,-22.67999999999997,0.0,0.0,70,overall
19,0,6,2.7199999999999998,0.0,0.0,70,a-1
20,0,6,-25.39999999999997,0.0,0.0,70,a-2
21,0,7,-8.840000000000007,0.0,0.0,43,overall
22,0,7,2.5599999999999996,0.0,0.0,43,a-1
23,0,7,-11.400000000000007,0.0,0.0,43,a-2
24,0,8,-12.050000000000011,0.0,0.0,44,overall
25,0,8,-14.60000000000001,0.0,0.0,44,a-1
26,0,8,2.55,0.0,0.0,44,a-2
27,0,9,-4.450000000000003,0.0,0.0,44,overall
28,0,9,2.55,0.0,0.0,44,a-1
29,0,9,-7.000000000000003,0.0,0.0,44,a-2
30,0,10,-6.630000000000006,0.0,0.0,30,overall
31,0,10,2.7699999999999996,0.0,0.0,30,a-1
32,0,10,-9.400000000000006,0.0,0.0,30,a-2
33,0,11,-20.449999999999985,0.0,0.0,84,overall
34,0,11,2.1499999999999995,0.0,0.0,84,a-1
35,0,11,-22.599999999999984,0.0,0.0,84,a-2
36,0,12,-14.249999999999996,0.0,0.0,49,overall
37,0,12,-16.999999999999996,0.0,0.0,49,a-1
38,0,12,2.75,0.0,0.0,49,a-2
39,0,13,-13.830000000000005,0.0,0.0,48,overall
40,0,13,2.7699999999999996,0.0,0.0,48,a-1
41,0,13,-16.600000000000005,0.0,0.0,48,a-2
42,0,14,-10.500000000000009,0.0,0.0,40,overall
43,0,14,-13.40000000000001,0.0,0.0,40,a-1
44,0,14,2.9,0.0,0.0,40,a-2
45,0,15,-8.470000000000008,0.0,0.0,46,overall
46,0,15,2.5299999999999994,0.0,0.0,46,a-1
47,0,15,-11.000000000000007,0.0,0.0,46,a-2
48,0,16,-6.380000000000004,0.0,0.0,37,overall
49,0,16,-9.000000000000004,0.0,0.0,37,a-1
50,0,16,2.6199999999999997,0.0,0.0,37,a-2
51,0,17,-15.469999999999995,0.0,0.0,52,overall
52,0,17,2.7299999999999995,0.0,0.0,52,a-1
53,0,17,-18.199999999999996,0.0,0.0,52,a-2
54,0,18,-6.4200000000000035,0.0,0.0,41,overall
55,0,18,-9.000000000000004,0.0,0.0,41,a-1
56,0,18,2.5799999999999996,0.0,0.0,41,a-2
57,0,19,-12.460000000000012,0.0,0.0,45,overall
58,0,19,-15.00000000000001,0.0,0.0,45,a-1
59,0,19,2.5399999999999996,0.0,0.0,45,a-2
60,0,20,-21.29999999999998,0.0,0.0,66,overall
61,0,20,-23.79999999999998,0.0,0.0,66,a-1
62,0,20,2.4999999999999996,0.0,0.0,66,a-2
63,0,21,0.5599999999999996,0.0,0.0,63,overall
64,0,21,2.3599999999999994,0.0,0.0,63,a-1
65,0,21,-1.7999999999999998,0.0,0.0,63,a-2
66,0,22,-6.460000000000006,0.0,0.0,45,overall
67,0,22,-9.000000000000005,0.0,0.0,45,a-1
68,0,22,2.5399999999999996,0.0,0.0,45,a-2
69,0,23,-15.489999999999995,0.0,0.0,52,overall
70,0,23,2.71,0.0,0.0,52,a-1
71,0,23,-18.199999999999996,0.0,0.0,52,a-2
72,0,24,-13.470000000000006,0.0,0.0,66,overall
73,0,24,-15.800000000000006,0.0,0.0,66,a-1
74,0,24,2.329999999999999,0.0,0.0,66,a-2
75,0,25,-195.29000000000173,0.0,0.0,499,overall
76,0,25,2.71,0.0,0.0,499,a-1
77,0,25,-198.00000000000173,0.0,0.0,499,a-2
78,0,26,-11.05000000000001,0.0,0.0,64,overall
79,0,26,-13.40000000000001,0.0,0.0,64,a-1
80,0,26,2.3499999999999996,0.0,0.0,64,a-2
81,0,27,-7.230000000000007,0.0,0.0,42,overall
82,0,27,2.5699999999999994,0.0,0.0,42,a-1
83,0,27,-9.800000000000006,0.0,0.0,42,a-2
84,0,28,-143.110000000001,0.0,0.0,371,overall
85,0,28,2.6899999999999995,0.0,0.0,371,a-1
86,0,28,-145.800000000001,0.0,0.0,371,a-2
87,0,29,-6.100000000000005,0.0,0.0,49,overall
88,0,29,2.4999999999999996,0.0,0.0,49,a-1
89,0,29,-8.600000000000005,0.0,0.0,49,a-2
90,0,30,-3.230000000000002,0.0,0.0,42,overall
91,0,30,-5.800000000000002,0.0,0.0,42,a-1
92,0,30,2.5699999999999994,0.0,0.0,42,a-2
93,0,31,-14.729999999999999,0.0,0.0,50,overall
94,0,31,2.67,0.0,0.0,50,a-1
95,0,31,-17.4,0.0,0.0,50,a-2
96,0,32,1.54,0.0,0.0,45,overall
97,0,32,2.54,0.0,0.0,45,a-1
98,0,32,-1.0,0.0,0.0,45,a-2
99,0,33,-11.420000000000009,0.0,0.0,61,overall
100,0,33,2.3799999999999994,0.0,0.0,61,a-1
101,0,33,-13.800000000000008,0.0,0.0,61,a-2
102,0,34,-16.129999999999995,0.0,0.0,54,overall
103,0,34,-18.999999999999996,0.0,0.0,54,a-1
104,0,34,2.87,0.0,0.0,54,a-2
105,0,35,-23.87999999999996,0.0,0.0,73,overall
106,0,35,-26.59999999999996,0.0,0.0,73,a-1
107,0,35,2.7199999999999998,0.0,0.0,73,a-2
108,0,36,-14.700000000000003,0.0,0.0,50,overall
