,episode,contracting,reward,number_contracts,episode_steps,reward_a0,accumulated_transfer_a0,greedy_a0,reward_a1,accumulated_transfer_a1,greedy_a1
55,55,True,0.27999999999999986,0,24,-0.35000000000000003,0.0,0.0,0.6299999999999999,0.0,0.0
56,56,True,4.24,0,22,4.62,0.0,0.0,-0.38,0.0,0.0
57,57,True,4.5,0,22,3.92452684044838,0.0,0.0,0.5754731595516204,0.0,0.0
58,58,True,4.04,0,56,-0.4800000000000001,0.0,0.0,4.5200000000000005,0.0,0.0
59,59,True,0.2199999999999998,0,34,0.5999999999999999,0.0,0.0,-0.38000000000000006,0.0,0.0
60,60,True,0.4199999999999998,0,26,0.6999999999999998,0.0,0.0,-0.28,0.0,0.0
61,61,True,0.6199999999999999,0,12,-0.18,0.0,0.0,0.7999999999999999,0.0,0.0
62,62,True,0.19999999999999996,0,26,-0.39,0.99,0.0,0.59,0.0,0.0
63,63,True,4.46,0,20,3.8695419239997864,0.0,0.0,0.5904580760002136,0.0,0.0
64,64,True,0.6199999999999999,0,14,0.7999999999999999,0.0,0.0,-0.18000000000000002,0.0,0.0
65,65,True,4.4399999999999995,0,22,4.72,0.0,0.0,-0.28,0.0,0.0
66,66,True,0.2799999999999998,0,36,-0.3500000000000001,0.99,0.0,0.6299999999999999,0.0,0.0
67,67,True,4.140000000000001,0,24,4.57,0.0,0.0,-0.43,0.0,0.0
68,68,True,0.040000000000000036,0,40,0.51,0.0,0.0,-0.47,0.0,0.0
69,69,True,4.36,0,26,-0.32000000000000006,0.0,0.0,4.680000000000001,0.0,0.0
70,70,True,0.3599999999999999,0,28,0.6699999999999999,0.0,0.0,-0.31000000000000005,0.99,0.0
71,71,True,4.34,0,14,4.67,0.0,0.0,-0.32999999999999996,0.0,0.0
72,72,True,0.48,0,26,-0.25,0.0,0.0,0.73,0.0,0.0
73,73,True,4.7,0,8,4.1541427135467535,0.0,0.0,0.545857286453247,0.0,0.0
74,74,True,4.44,0,12,-0.27999999999999997,0.0,0.0,4.720000000000001,0.0,0.0
75,75,True,4.18,0,44,-0.41000000000000014,0.0,0.0,4.59,0.0,0.0
76,76,True,0.5800000000000001,0,6,0.78,0.0,0.0,-0.19999999999999998,0.0,0.0
77,77,True,-0.8400000000000003,0,64,-0.9100000000000001,0.0,0.0,0.06999999999999984,0.0,0.0
78,78,True,0.6000000000000001,0,22,0.79,0.0,0.0,-0.19,0.99,0.0
79,79,True,3.72,0,32,-0.64,0.0,0.0,4.36,0.0,0.0
80,80,True,4.540000000000001,0,10,3.8128729653358464,0.957127034664154,0.0,0.7271270346641541,0.0,0.0
81,81,True,0.19999999999999973,0,38,0.5899999999999999,0.0,0.0,-0.3900000000000001,0.0,0.0
82,82,True,0.5999999999999999,0,20,-0.19000000000000006,0.0,0.0,0.7899999999999999,0.0,0.0
83,83,True,4.62,0,8,0.4029021835327148,0.0,0.0,4.217097816467286,0.0,0.0
84,84,True,0.1399999999999998,0,44,0.5599999999999998,0.0,0.0,-0.42000000000000004,0.0,0.0
85,85,True,3.6000000000000005,0,66,4.300000000000001,0.0,0.0,-0.7000000000000001,0.0,0.0
86,86,True,-0.18000000000000016,0,62,0.3999999999999999,0.0,0.0,-0.5800000000000001,0.0,0.0
87,87,True,0.05999999999999989,0,30,-0.46,0.0,0.0,0.5199999999999999,0.0,0.0
